Название в Brandpolaris;Цена на Brandpolaris;Модельный год
2021 RZR 72 XP Turbo S - Lifted Lime (US spec);3 538 000;2021
2021 RZR 72 XP Turbo S Velocity - Orange Madness (US spec);2 877 000;2021
2021 RZR XP Turbo - Sand Metallic (US Spec);2 557 000;2021
2021 RZR XP 1000 Premium RC - Stealth Gray (US spec);2 292 000;2021
2021 RZR XP 1000 - Matte Copper;2 131 000;2021
2021 RZR XP 1000 - White Lightning (US spec);2 131 000;2021
2021 RZR 64 RS1 1000 - Indy Red;1 705 000;2021
2021 RZR 64 Pro XP Ultimate - Matte Titanium Metallic;3 548 000;2021
2021 RZR XP 4 1000 Sport - Matte Copper;2 718 000;2021
2021 RZR XP 4 Turbo - Sand Metallic;2 898 000;2021
2021 RZR XP 4 Turbo - Ghost Gray;2 898 000;2021
2021 RZR 72 XP 4 Turbo S - Lifted Lime (US spec);3 730 000;2021
2021 RZR 72 XP 4 Turbo S - Onyx Black;3 219 000;2021
2021 RZR 72 XP 4 Turbo S Velocity - Orange Madness (US spec);3 091 000;2021
2021 RZR XP 4 1000 Premium RC - Stealth Gray (US spec);2 898 000;2021
2021 RZR 64 Pro XP 4 Ultimate - Matte Titanium Metallic;3 784 000;2021
2021 RZR XP 4 1000 High Lifter - Ghost Gray;3 037 000;2021
2021 RZR XP 1000 High Lifter - Ghost Gray;2 803 000;2021
2021 RZR 170 EFI - Lime Squeeze/Cruiser Black;777 000;2021
2020 RZR 64 Pro XP Turbo Dynamix EVAP — White Lightning;;2020
2020 RZR PRO XP® Ultimate Indy Red;;2020
2020 RZR PRO XP® Ultimate White Lightning;;2020
2020 RZR XP® 4 1000 High Lifter  Stealth Gray;;2020
2021 RANGER XP 1000 NorthStar Ultimate - Polaris Pursuit Camo;3 197 000;2021
2021 RANGER CREW XP 1000 NorthStar Ultimate (+ MB Quart Audio) - Ghost White;3 517 000;2021
2021 RANGER CREW XP 1000 NorthStar Ultimate (+ MB Quart Audio) - Burgundy Metallic;3 517 000;2021
2021 RANGER CREW XP 1000 NorthStar Ultimate (+ MB Quart Audio) - Polaris Pursuit Camo;3 570 000;2021
2021 Ranger XP 1000 NS Ultimate – Ghost White Metallic (US spec);3 144 000;2021
2021 Ranger XP 1000 Premium High Lifter - Ghost Gray;2 451 000;2021
2021 Ranger Crew XP 1000 Premium High Lifter;2 664 000;2021
2021 Ranger Crew 1000 Premium - Stealth Gray (US spec);2 025 000;2021
2021 Ranger 1000 - Inmold Sage Green (US spec);1 652 000;2021
2021 Ranger EV - Inmold Avalanche Gray (US Spec);1 545 000;2021
2021 Ranger 500 - Inmold Sage Green (US Spec);1 119 000;2021
2021 Ranger 150 EFI - White/Indian Sky Blue;746 000;2021
2020 RANGER® 1000 Sage Green;;2020
2020 RANGER XP® 1000 Premium Polaris® Pursuit® Camo;;2020
2019 Ranger Crew Mid-Size 570-4 - Inmold Sage Green;1 458 000;2019
2019 RANGER EV;1 728 000;2019
2021 GENERAL XP 1000 Deluxe Ride Command - Super Graphite;3 091 000;2021
2021 GENERAL XP 1000 Deluxe Ride Command - Matte Military Tan;3 091 000;2021
2021 GENERAL XP 4 1000 Deluxe Ride Command - Super Graphite;3 410 000;2021
2021 GENERAL XP 4 1000 Deluxe Ride Command - Matte Military Tan;3 410 000;2021
2021 General XP 4 1000 Hunt LE - Stealth Black;3 197 000;2021
2021 General XP 4 1000 Deluxe - Matte Military Tan;2 984 000;2021
2021 General XP 4 1000 Deluxe - Super Graphite;2 984 000;2021
2021 General 1000 XP Hunt LE - Black (US spec);2 877 000;2021
2021 General XP 1000 Deluxe - Matte Military Tan;2 770 000;2021
2021 General XP 1000 Deluxe - Super Graphite;2 770 000;2021
2021 General 1000 Sport  - Inmold Ghost Gray (US Spec);2 025 000;2021
2021 Scrambler XP 1000 S - Black Pearl;1 648 000;2021
2021 Sportsman 6x6 570 EPS - Sage Green (US spec);1 588 000;2021
2021 Sportsman XP 1000 High Lifter - Ghost Gray;1 545 000;2021
2021 Sportsman 850 High Lifter - Ghost Gray;1 278 000;2021
2021 Sportsman X2 570 - Sage Green (US spec);1 300 000;2021
2021 Sportsman Touring 570 - Sonic Blue;852 000;2021
2021 Sportsman Touring XP 1000 Premium - Pearl White;1 491 000;2021
2021 Sportsman Touring 850 Premium - Navy Blue;1 322 000;2021
2021 Sportsman Touring 570 EPS Premium - Nara Bronze;1 065 000;2021
2021 Sportsman XP 1000 S Premium - Ghost Gray;1 648 000;2021
2021 Sportsman XP 1000 S Premium - Orange Madness;1 648 000;2021
2021 Sportsman XP 1000 Hunter Edition - Polaris Pursuit Camo (US spec);1 385 000;2021
2021 Sportsman 570 Premium Hunter Edition - Polaris Pursuit Camo;1 119 000;2021
2021 Sportsman 570 EPS Premium - Radar Blue (US spec);991 000;2021
2021 Sportsman 570 EPS Premium - Titanium Metallic;991 000;2021
2021 Sportsman 570 - Polaris Pursuit Camo (US spec);938 000;2021
2021 Sportsman 570 - Zenith Blue;906 000;2021
2021 Sportsman 570 - Desert Sand;906 000;2021
2021 Sportsman 570 - Sage Green;906 000;2021
2021 Sportsman 450 HO - Zenith Blue;746 000;2021
2021 Sportsman 110 EFI - Velocity Blue;533 000;2021
2021 Outlaw 70  - Bright White/Indy Red;479 000;2021
2020 Sportsman® 450 Base Sage Green;;2020
2013 SPORTSMAN 90;280 000;2013
2021 ACE® 150 EFI, White Lightning/Sky Blue;619 000;2021
2017 Квадроцикл SPORTSMAN ACE 900 XC;1 312 000;2017
2022 PATRIOT BOOST MATRYX SLASH RMK KHAOS 155;1 949 000;2022
2022 PATRIOT BOOST MATRYX SLASH PRO RMK 165 2.75";1 949 000;2022
2022 PATRIOT BOOST MATRYX SLASH PRO RMK 163 3";1 949 000;2022
2022 850 MATRYX RMK KHAOS 155;1 599 000;2022
2022 850 MATRYX PRO RMK 155;1 549 000;2022
2022 650 MATRYX PRO RMK 155;1 489 000;2022
2022 650 INDY XC 137;1 469 000;2022
2022 650 VOYAGEUR 146;1 489 000;2022
2022 800 TITAN ADVENTURE 155;1 549 000;2022
2022 800 TITAN XC 155;1 499 000;2022
2022 120 INDY;449 000;2022
2021 RMK EVO ES;811 000;2021
2021 RMK Khaos 155 3″ QD;1 623 000;2021
2021 RMK Khaos 165 2.75″ QD;1 623 000;2021
2021 850 SKS 155 Black;1 532 000;2021
2021 RMK EVO ES;811 000;2021
2021 RMK Khaos 155 3″ QD;1 623 000;2021
2021 RMK Khaos 155 2.75″ QD;1 623 000;2021
2021 RMK Khaos 165 2.75″ QD;1 623 000;2021
2021 RMK Khaos 163 3″ QD;1 623 000;2021
2021 850 PRO-RMK® 165 2.75″ QD;1 542 000;2021
2021 850 PRO-RMK® 163 3" QD;1 542 000;2021
2021 850 PRO-RMK® 174 3" QD;1 573 000;2021
2021 850 PRO-RMK® 155 2.75" QD;1 532 000;2021
2021 850 PRO-RMK® 155 3" QD;1 532 000;2021
2021 600 RMK PRO 155;1 370 000;2021
2021 850 SKS 155;1 532 000;2021
2021 850 PRO-RMK® 155 3" QD BlackRed;1 509 000;2021
2021 850 INDY® VR1 137;1 674 000;2021
2021 850 INDY® VR1 129;1 623 000;2021
2021 650 INDY® VR1 137;1 542 000;2021
2021 650 INDY® VR1 129;1 522 000;2021
2021 650 INDY® XC Launch Edition 129;1 471 000;2021
2021 850 INDY® XC Launch Edition 129;1 603 000;2021
2021 650 INDY® XC Launch Edition 137;1 532 000;2021
2021 850 INDY® XC Launch Edition 137;1 623 000;2021
2021 600 INDY® XCR 129;1 370 000;2021
2021 850 INDY® VR1 137;1 674 000;2021
2021 850 SKS 146 Red;1 542 000;2021
2021 650 Switchback Assault 146;1 573 000;2021
2021 SKS 146;1 542 000;2021
2021 850 Switchback Assault 146;1 674 000;2021
2021 650 Switchback Assault 146;1 573 000;2021
2021 550 Voyageur 155;913 000;2021
2021 600 Voyageur 144 White Lightning;1 116 000;2021
2021 800 Titan XC;1 339 000;2021
2021 800 Titan Adventure;1 522 000;2021
2021 550 INDY® LXT NORTHSTAR EDITION;964 000;2021
2021 850 INDY® Adventure 137;1 573 000;2021
2021 550 INDY® LXT NORTHSTAR EDITION;964 000;2021
2021 120 INDY®;507 000;2021
2020 Горный подростковый снегоход RMK EVO ES;784 000;2020
2020 Горный снегоход 850 PRO-RMK 163 3″;1 463 000;2020
2020 Горный снегоход 850 PRO-RMK 155 3″;;2020
2020 Горный снегоход 850 PRO-RMK 155;1 463 000;2020
2020 Горный снегоход 850 SKS 155 ES;1 390 000;2020
2020 Горный снегоход 850 SKS 146 ES;1 359 000;2020
2020 Горный снегоход 850 RMK KHAOS 155;1 495 000;2020
2020 Горный снегоход 850 RMK KHAOS 155 3″;1 495 000;2020
2020 Кроссовый снегоход 850 INDY Adventure;1 463 000;2020
2020 Кроссовый снегоход 850 INDY XC 137;1 463 000;2020
2020 Кроссовый снегоход 850 SWITCHBACK XCR;1 463 000;2020
2020 Снегоход 600 Racer;1 149 000;2020
2020 Утилитарный снегоход 800 Titan Adventure;1 439 000;2020
2020 Утилитарный снегоход 800 Titan XC;1 289 000;2020
2019 Горный снегоход 850 SKS 155 SC Select;1 158 000;2019
2019 Горный снегоход 850 Pro-RMK 163 SC Select 3";1 135 000;2019
2019 Горный снегоход 850 PRO-RMK® 155;1 123 000;2019
2019 Горный снегоход 800 RMK® ASSAULT®;1 213 000;2019
2019 Снегоход кроссовер 850 Switchback Assault Snowcheck Select;1 236 000;2019
2019 Снегоход 550 VOYAGEUR 155;837 000;2019
2019 800 Titan Adventure 155 1,8" PIDD ES Matte Titanium [US];1 433 000;2019
2019 Снегоход 800 TITAN™ SP 155;1 278 000;2019
2019 Утилитарный снегоход 600 VOYAGEUR 144;1 123 000;2019
2018 Горный снегоход 800 PRO-RMK® 163;1 177 000;2018
2018 Горный снегоход 800 PRO-RMK® 174;973 000;2018
2018 Снегоход 600 SWITCHBACK®  XCR;1 004 000;2018
2018 Снегоход 800 SWITCHBACK XCR;1 069 000;2018
2017 Горный снегоход 800 RMK® ASSAULT® 155;1 102 000;2017
2015 800 RUSH PRO-X;929 000;2015
2015 Снегоход 120 INDY;280 000;2015
